"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,California,2017,51,3143,917,156,34.14,29.18,4.96
States,California,2017,52,3339,1090,205,38.78,32.64,6.14
States,California,2018,1,3272,823,191,30.99,25.15,5.84
States,California,2018,2,2893,460,179,22.09,15.9,6.19
States,California,2018,3,2476,269,145,16.72,10.86,5.86
States,California,2018,4,2427,216,187,16.6,8.9,7.7
States,California,2018,5,2509,208,233,17.58,8.29,9.29
States,California,2018,6,2778,178,307,17.46,6.41,11.05
States,California,2018,7,2605,142,292,16.66,5.45,11.21
States,California,2018,8,2137,90,204,13.76,4.21,9.55
States,California,2018,9,2130,94,253,16.29,4.41,11.88
States,California,2018,10,2041,104,230,16.36,5.1,11.27
States,California,2018,11,1976,91,227,16.09,4.61,11.49
States,California,2018,12,1632,45,122,10.23,2.76,7.48
States,California,2018,13,1308,23,76,7.57,1.76,5.81
States,California,2018,14,1084,16,64,7.38,1.48,5.9
States,California,2018,15,855,8,34,4.91,0.94,3.98
States,California,2018,16,568,8,11,3.35,1.41,1.94
States,California,2018,17,689,15,12,3.92,2.18,1.74
States,California,2018,18,621,5,6,1.77,0.81,0.97
States,California,2018,19,553,1,2,0.54,0.18,0.36
States,California,2018,20,519,2,5,1.35,0.39,0.96
States,California,2018,21,430,5,3,1.86,1.16,0.7
States,California,2018,22,407,2,0,0.49,0.49,0
States,California,2018,23,402,0,7,1.74,0,1.74
States,California,2018,24,350,0,1,0.29,0,0.29
States,California,2018,25,362,1,0,0.28,0.28,0
States,California,2018,26,216,1,0,0.46,0.46,0
States,California,2018,27,283,0,1,0.35,0,0.35
States,California,2018,28,193,1,0,0.52,0.52,0
States,California,2018,29,232,0,0,0,0,0
States,California,2018,30,207,2,0,0.97,0.97,0
States,California,2018,31,212,3,0,1.42,1.42,0
States,California,2018,32,219,3,0,1.37,1.37,0
States,California,2018,33,225,2,0,0.89,0.89,0
States,California,2018,34,213,0,0,0,0,0
States,California,2018,35,230,0,0,0,0,0
States,California,2018,36,269,0,1,0.37,0,0.37
States,California,2018,37,324,2,1,0.93,0.62,0.31
States,California,2018,38,285,0,1,0.35,0,0.35
States,California,2018,39,355,4,0,1.13,1.13,0
States,California,2018,40,409,2,1,0.73,0.49,0.24
States,California,2018,41,410,4,1,1.22,0.98,0.24
States,California,2018,42,457,5,2,1.53,1.09,0.44
States,California,2018,43,431,3,0,0.7,0.7,0
States,California,2018,44,549,11,1,2.19,2,0.18
States,California,2018,45,601,12,0,2,2,0
States,California,2018,46,612,13,0,2.12,2.12,0
States,California,2018,47,647,35,1,5.56,5.41,0.15
States,California,2018,48,846,64,0,7.57,7.57,0
States,California,2018,49,958,139,1,14.61,14.51,0.1
States,California,2018,50,1251,251,4,20.38,20.06,0.32
States,California,2018,51,1244,223,4,18.25,17.93,0.32
States,California,2018,52,1231,197,5,16.41,16,0.41
States,California,2019,1,1196,135,4,11.62,11.29,0.33
States,California,2019,2,1350,187,4,14.15,13.85,0.3
States,California,2019,3,1174,175,5,15.33,14.91,0.43
States,California,2019,4,1118,129,6,12.08,11.54,0.54
States,California,2019,5,1270,168,6,13.7,13.23,0.47
States,California,2019,6,1134,122,6,11.29,10.76,0.53
States,California,2019,7,1145,158,2,13.97,13.8,0.17
States,California,2019,8,1160,175,10,15.95,15.09,0.86
States,California,2019,9,1181,206,6,17.95,17.44,0.51
States,California,2019,10,1243,179,4,14.72,14.4,0.32
States,California,2019,11,1224,145,8,12.5,11.85,0.65
States,California,2019,12,1222,158,7,13.5,12.93,0.57
States,California,2019,13,1090,111,2,10.37,10.18,0.18
States,California,2019,14,973,88,7,9.76,9.04,0.72
States,California,2019,15,823,37,4,4.98,4.5,0.49
States,California,2019,16,747,42,2,5.89,5.62,0.27
States,California,2019,17,729,20,5,3.43,2.74,0.69
States,California,2019,18,644,11,15,4.04,1.71,2.33
States,California,2019,19,600,15,3,3,2.5,0.5
States,California,2019,20,510,3,3,1.18,0.59,0.59
States,California,2019,21,516,6,3,1.74,1.16,0.58
States,California,2019,22,456,3,3,1.32,0.66,0.66
States,California,2019,23,411,6,5,2.68,1.46,1.22
States,California,2019,24,348,3,1,1.15,0.86,0.29
States,California,2019,25,308,1,0,0.32,0.32,0
States,California,2019,26,269,2,0,0.74,0.74,0
States,California,2019,27,287,4,2,2.09,1.39,0.7
States,California,2019,28,300,2,2,1.33,0.67,0.67
States,California,2019,29,269,2,1,1.12,0.74,0.37
States,California,2019,30,266,2,0,0.75,0.75,0
States,California,2019,31,278,1,0,0.36,0.36,0
States,California,2019,32,248,1,3,1.61,0.4,1.21
States,California,2019,33,303,4,2,1.98,1.32,0.66
States,California,2019,34,270,4,0,1.48,1.48,0
States,California,2019,35,423,5,3,1.89,1.18,0.71
States,California,2019,36,390,5,1,1.54,1.28,0.26
States,California,2019,37,441,4,0,0.91,0.91,0
States,California,2019,38,471,3,4,1.49,0.64,0.85
States,California,2019,39,520,6,1,1.35,1.15,0.19
States,California,2019,40,1436,18,10,1.95,1.25,0.7
States,California,2019,41,1454,26,11,2.54,1.79,0.76
States,California,2019,42,148,0,0,0,0,0
