PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2016,52,X,3.52608,X,X,X,X,X,X,1419,128,40243
States,California,2017,1,X,3.2667,X,X,X,X,X,X,1559,133,47724
States,California,2017,2,X,2.9995,X,X,X,X,X,X,1490,129,49675
States,California,2017,3,X,2.77799,X,X,X,X,X,X,1441,129,51872
States,California,2017,4,X,3.11572,X,X,X,X,X,X,1700,129,54562
States,California,2017,5,X,3.19202,X,X,X,X,X,X,1667,121,52224
States,California,2017,6,X,2.69419,X,X,X,X,X,X,1395,118,51778
States,California,2017,7,X,2.52341,X,X,X,X,X,X,1245,113,49338
States,California,2017,8,X,2.38854,X,X,X,X,X,X,1080,107,45216
States,California,2017,9,X,2.14593,X,X,X,X,X,X,1082,112,50421
States,California,2017,10,X,2.17089,X,X,X,X,X,X,1091,111,50256
States,California,2017,11,X,2.33598,X,X,X,X,X,X,1155,112,49444
States,California,2017,12,X,1.95979,X,X,X,X,X,X,925,104,47199
States,California,2017,13,X,1.96521,X,X,X,X,X,X,845,102,42998
States,California,2017,14,X,1.73982,X,X,X,X,X,X,809,104,46499
States,California,2017,15,X,1.59589,X,X,X,X,X,X,746,103,46745
States,California,2017,16,X,1.62994,X,X,X,X,X,X,776,103,47609
States,California,2017,17,X,1.6618,X,X,X,X,X,X,797,103,47960
States,California,2017,18,X,1.46371,X,X,X,X,X,X,660,92,45091
States,California,2017,19,X,1.43326,X,X,X,X,X,X,629,95,43886
States,California,2017,20,X,1.4245,X,X,X,X,X,X,640,96,44928
States,California,2017,21,X,1.39117,X,X,X,X,X,X,551,85,39607
States,California,2017,22,X,1.39993,X,X,X,X,X,X,449,75,32073
States,California,2017,23,X,1.6159,X,X,X,X,X,X,608,81,37626
States,California,2017,24,X,1.2838,X,X,X,X,X,X,470,75,36610
States,California,2017,25,X,1.25237,X,X,X,X,X,X,463,77,36970
States,California,2017,26,X,1.39657,X,X,X,X,X,X,470,75,33654
States,California,2017,27,X,1.31237,X,X,X,X,X,X,369,74,28117
States,California,2017,28,X,1.12425,X,X,X,X,X,X,366,73,32555
States,California,2017,29,X,1.09387,X,X,X,X,X,X,397,72,36293
States,California,2017,30,X,0.979101,X,X,X,X,X,X,342,67,34930
States,California,2017,31,X,0.853916,X,X,X,X,X,X,307,69,35952
States,California,2017,32,X,0.936918,X,X,X,X,X,X,337,70,35969
States,California,2017,33,X,1.01272,X,X,X,X,X,X,340,68,33573
States,California,2017,34,X,1.13787,X,X,X,X,X,X,439,70,38581
States,California,2017,35,X,1.19891,X,X,X,X,X,X,506,72,42205
States,California,2017,36,X,1.28088,X,X,X,X,X,X,490,74,38255
States,California,2017,37,X,1.547,X,X,X,X,X,X,652,78,42146
States,California,2017,38,X,1.52105,X,X,X,X,X,X,621,71,40827
States,California,2017,39,X,1.55626,X,X,X,X,X,X,659,72,42345
States,California,2017,40,X,1.75421,X,X,X,X,X,X,852,102,48569
States,California,2017,41,X,1.53534,X,X,X,X,X,X,733,106,47742
States,California,2017,42,X,1.56714,X,X,X,X,X,X,823,117,52516
States,California,2017,43,X,1.72325,X,X,X,X,X,X,906,118,52575
States,California,2017,44,X,1.98355,X,X,X,X,X,X,948,120,47793
States,California,2017,45,X,1.90851,X,X,X,X,X,X,950,124,49777
States,California,2017,46,X,1.99801,X,X,X,X,X,X,1024,126,51251
States,California,2017,47,X,2.2189,X,X,X,X,X,X,817,120,36820
States,California,2017,48,X,1.94918,X,X,X,X,X,X,988,124,50688
States,California,2017,49,X,2.49813,X,X,X,X,X,X,1236,128,49477
States,California,2017,50,X,3.39179,X,X,X,X,X,X,1671,122,49266
States,California,2017,51,X,4.58891,X,X,X,X,X,X,2069,117,45087
States,California,2017,52,X,6.84245,X,X,X,X,X,X,2512,118,36712
States,California,2018,1,X,6.66513,X,X,X,X,X,X,2310,118,34658
States,California,2018,2,X,4.69123,X,X,X,X,X,X,2361,123,50328
States,California,2018,3,X,3.93592,X,X,X,X,X,X,1963,124,49874
States,California,2018,4,X,3.89779,X,X,X,X,X,X,2038,122,52286
States,California,2018,5,X,4.25872,X,X,X,X,X,X,2369,121,55627
States,California,2018,6,X,3.81901,X,X,X,X,X,X,2116,121,55407
States,California,2018,7,X,3.71403,X,X,X,X,X,X,1879,112,50592
States,California,2018,8,X,3.51102,X,X,X,X,X,X,1619,119,46112
States,California,2018,9,X,3.64857,X,X,X,X,X,X,1870,120,51253
States,California,2018,10,X,3.39303,X,X,X,X,X,X,1813,118,53433
States,California,2018,11,X,3.21007,X,X,X,X,X,X,1658,114,51650
States,California,2018,12,X,2.9579,X,X,X,X,X,X,1457,107,49258
States,California,2018,13,X,2.76154,X,X,X,X,X,X,1167,112,42259
States,California,2018,14,X,2.30591,X,X,X,X,X,X,1082,108,46923
States,California,2018,15,X,1.81038,X,X,X,X,X,X,903,111,49879
States,California,2018,16,X,1.83904,X,X,X,X,X,X,888,109,48286
States,California,2018,17,X,1.90959,X,X,X,X,X,X,934,110,48911
States,California,2018,18,X,1.859,X,X,X,X,X,X,876,104,47122
States,California,2018,19,X,1.7816,X,X,X,X,X,X,828,100,46475
States,California,2018,20,X,1.59208,X,X,X,X,X,X,708,101,44470
States,California,2018,21,X,1.69035,X,X,X,X,X,X,690,91,40820
States,California,2018,22,X,1.5359,X,X,X,X,X,X,581,91,37828
States,California,2018,23,X,1.34495,X,X,X,X,X,X,571,91,42455
States,California,2018,24,X,1.33835,X,X,X,X,X,X,548,90,40946
States,California,2018,25,X,1.64565,X,X,X,X,X,X,526,81,31963
States,California,2018,26,X,1.53626,X,X,X,X,X,X,493,84,32091
States,California,2018,27,X,1.09491,X,X,X,X,X,X,380,89,34706
States,California,2018,28,X,0.98471,X,X,X,X,X,X,398,92,40418
States,California,2018,29,X,0.933866,X,X,X,X,X,X,379,93,40584
States,California,2018,30,X,0.946458,X,X,X,X,X,X,382,90,40361
States,California,2018,31,X,0.942208,X,X,X,X,X,X,374,82,39694
States,California,2018,32,X,0.954801,X,X,X,X,X,X,387,87,40532
States,California,2018,33,X,0.947351,X,X,X,X,X,X,391,84,41273
States,California,2018,34,X,0.85034,X,X,X,X,X,X,335,72,39396
States,California,2018,35,X,1.01655,X,X,X,X,X,X,435,75,42792
States,California,2018,36,X,1.35018,X,X,X,X,X,X,515,71,38143
States,California,2018,37,X,1.53784,X,X,X,X,X,X,645,78,41942
States,California,2018,38,X,1.36726,X,X,X,X,X,X,555,78,40592
States,California,2018,39,X,1.30344,X,X,X,X,X,X,546,79,41889
States,California,2018,40,X,1.48079,X,X,X,X,X,X,698,105,47137
States,California,2018,41,X,1.27218,X,X,X,X,X,X,598,105,47006
States,California,2018,42,X,1.42798,X,X,X,X,X,X,691,103,48390
States,California,2018,43,X,1.58346,X,X,X,X,X,X,753,102,47554
States,California,2018,44,X,1.76401,X,X,X,X,X,X,875,113,49603
States,California,2018,45,X,1.86635,X,X,X,X,X,X,944,118,50580
States,California,2018,46,X,2.07476,X,X,X,X,X,X,943,115,45451
States,California,2018,47,X,2.07785,X,X,X,X,X,X,719,115,34603
States,California,2018,48,X,2.35193,X,X,X,X,X,X,1177,114,50044
States,California,2018,49,X,2.55125,X,X,X,X,X,X,1206,113,47271
States,California,2018,50,X,2.90103,X,X,X,X,X,X,1356,115,46742
States,California,2018,51,X,3.15841,X,X,X,X,X,X,1288,107,40780
States,California,2018,52,X,3.35655,X,X,X,X,X,X,935,105,27856
States,California,2019,1,X,3.3413,X,X,X,X,X,X,1021,113,30557
States,California,2019,2,X,3.14047,X,X,X,X,X,X,1415,115,45057
States,California,2019,3,X,2.87537,X,X,X,X,X,X,1325,117,46081
States,California,2019,4,X,2.74367,X,X,X,X,X,X,1267,118,46179
States,California,2019,5,X,3.25349,X,X,X,X,X,X,1657,120,50930
States,California,2019,6,X,3.26858,X,X,X,X,X,X,1617,119,49471
States,California,2019,7,X,3.77301,X,X,X,X,X,X,1726,113,45746
States,California,2019,8,X,3.40884,X,X,X,X,X,X,1562,118,45822
States,California,2019,9,X,3.59746,X,X,X,X,X,X,1856,117,51592
States,California,2019,10,X,3.52475,X,X,X,X,X,X,1804,116,51181
States,California,2019,11,X,3.36917,X,X,X,X,X,X,1708,114,50695
States,California,2019,12,X,3.48291,X,X,X,X,X,X,1699,117,48781
States,California,2019,13,X,2.96381,X,X,X,X,X,X,1371,116,46258
States,California,2019,14,X,2.9268,X,X,X,X,X,X,1329,114,45408
States,California,2019,15,X,2.40137,X,X,X,X,X,X,1165,112,48514
States,California,2019,16,X,2.27985,X,X,X,X,X,X,1084,102,47547
States,California,2019,17,X,2.02365,X,X,X,X,X,X,972,112,48032
States,California,2019,18,X,1.62147,X,X,X,X,X,X,702,92,43294
States,California,2019,19,X,1.8175,X,X,X,X,X,X,771,88,42421
States,California,2019,20,X,1.63414,X,X,X,X,X,X,674,88,41245
States,California,2019,21,X,1.66379,X,X,X,X,X,X,607,78,36483
States,California,2019,22,X,1.80111,X,X,X,X,X,X,612,79,33979
States,California,2019,23,X,1.65494,X,X,X,X,X,X,574,75,34684
States,California,2019,24,X,1.56691,X,X,X,X,X,X,561,72,35803
States,California,2019,25,X,1.32786,X,X,X,X,X,X,453,74,34115
States,California,2019,26,X,1.30125,X,X,X,X,X,X,444,72,34121
States,California,2019,27,X,1.06008,X,X,X,X,X,X,316,74,29809
States,California,2019,28,X,0.985004,X,X,X,X,X,X,335,74,34010
States,California,2019,29,X,0.99801,X,X,X,X,X,X,336,74,33667
States,California,2019,30,X,0.955829,X,X,X,X,X,X,330,72,34525
States,California,2019,31,X,0.872265,X,X,X,X,X,X,295,73,33820
States,California,2019,32,X,1.06775,X,X,X,X,X,X,356,69,33341
States,California,2019,33,X,0.892936,X,X,X,X,X,X,304,68,34045
States,California,2019,34,X,0.84176,X,X,X,X,X,X,298,71,35402
States,California,2019,35,X,1.04476,X,X,X,X,X,X,373,66,35702
States,California,2019,36,X,1.07084,X,X,X,X,X,X,356,68,33245
States,California,2019,37,X,1.10448,X,X,X,X,X,X,407,72,36850
States,California,2019,38,X,1.16053,X,X,X,X,X,X,412,70,35501
States,California,2019,39,X,1.19281,X,X,X,X,X,X,432,70,36217
States,California,2019,40,X,1.44343,X,X,X,X,X,X,712,105,49327
States,California,2019,41,X,1.60944,X,X,X,X,X,X,749,99,46538
States,California,2019,42,X,1.79729,X,X,X,X,X,X,685,87,38113
