YEAR,COUNTY,HOSPITAL,OSHPDID,Procedure/Condition,Risk Adjuested Mortality Rate,# of Deaths,# of Cases,Hospital Ratings,LONGITUDE,LATITUDE
2012,Alameda,Alameda Hospital,106010735,Pneumonia,2.7,5,148,As Expected,-122.25362,37.762953
2012,Alameda,Alameda Hospital,106010735,Pancreatic Cancer,,,,As Expected,-122.25362,37.762953
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Hemorrhagic,23.4,18,80,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Other,,,,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Craniotomy,7.9,8,59,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Hip Fracture,,,,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pneumonia,,,,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Cancer,,,,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Heart Failure,1.6,4,230,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,PCI,,,,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Subarachnoid,0,0,6,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,GI Hemorrhage,2.9,5,173,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke,7.5,21,246,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Acute Stroke Ischemic,2.4,3,160,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Carotid Endarterectomy,0,0,7,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Espophageal Resection,,,,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Pancreatic Resection,,,,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,AAA Repair,,,,As Expected,-122.25784,37.85633
2012,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,AMI,6,3,26,As Expected,-122.25784,37.85633
2012,Alameda,Eden Medical Center,106010805,Espophageal Resection,,,,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,GI Hemorrhage,3.2,5,142,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Acute Stroke Hemorrhagic,22,36,152,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,AAA Repair,,,,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Acute Stroke Subarachnoid,28.7,26,70,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Pancreatic Resection,0,0,3,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Craniotomy,8.1,22,145,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Heart Failure,3.6,11,240,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Pancreatic Other,0,0,3,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Pancreatic Cancer,,,,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Hip Fracture,5.2,6,86,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,AMI,7.9,8,47,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Pneumonia,6,10,163,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Carotid Endarterectomy,0,0,3,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Acute Stroke Ischemic,4.3,13,254,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,Acute Stroke,9.9,75,476,As Expected,-122.08753,37.69871
2012,Alameda,Eden Medical Center,106010805,PCI,,,,As Expected,-122.08753,37.69871
2012,Alameda,Alameda County Medical Center,106010846,Hip Fracture,0,0,17,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,AMI,9.4,3,62,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Acute Stroke Subarachnoid,28.7,3,12,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Heart Failure,2.9,4,371,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,PCI,7.1,4,51,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Acute Stroke Ischemic,4.7,3,122,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Pneumonia,3,2,203,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Pancreatic Resection,0,0,4,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Acute Stroke,9.2,9,161,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,AAA Repair,,,,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Pancreatic Other,0,0,3,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,GI Hemorrhage,2.7,3,163,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Pancreatic Cancer,,,,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Craniotomy,6.1,2,45,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Espophageal Resection,,,,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Acute Stroke Hemorrhagic,18.2,3,27,As Expected,-122.2312,37.79917
2012,Alameda,Alameda County Medical Center,106010846,Carotid Endarterectomy,,,,As Expected,-122.2312,37.79917
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,GI Hemorrhage,0.9,2,244,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,AMI,5.5,9,108,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Pancreatic Other,0,0,12,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Pancreatic Resection,0,0,26,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Espophageal Resection,0,0,3,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Carotid Endarterectomy,0,0,17,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Heart Failure,2.5,14,568,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,PCI,,,,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Craniotomy,0,0,7,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Hip Fracture,0,0,114,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Pancreatic Cancer,0,0,14,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Acute Stroke,5.6,20,366,Better,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Pneumonia,4,,,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Acute Stroke Ischemic,3.3,11,306,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Acute Stroke Hemorrhagic,14,9,52,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,Acute Stroke Subarachnoid,0,0,8,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,AAA Repair,0,0,15,As Expected,-122.25792,37.82425
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Espophageal Resection,43.6,1,4,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,AAA Repair,2.3,1,29,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Heart Failure,1.7,8,408,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Craniotomy,,,,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Hip Fracture,2,3,148,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,AMI,3,6,133,Better,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Pancreatic Other,0,0,6,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Acute Stroke Ischemic,3.5,11,257,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Pancreatic Resection,0,0,13,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Acute Stroke Subarachnoid,9.6,1,5,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Acute Stroke Hemorrhagic,10.9,9,64,Better,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Pneumonia,3.9,12,240,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Acute Stroke,5.3,21,326,Better,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Pancreatic Cancer,0,0,7,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,PCI,5.6,2,29,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,Carotid Endarterectomy,0,0,26,As Expected,-122.09338,37.62593
2012,Alameda,Kaiser Foundation Hospital – Hayward,106010858,GI Hemorrhage,2.8,7,295,As Expected,-122.09338,37.62593
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Acute Stroke,8.5,19,290,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Espophageal Resection,,,,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,PCI,2.4,11,627,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Pancreatic Cancer,0,0,4,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Acute Stroke Ischemic,5,14,257,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Carotid Endarterectomy,0,0,18,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Heart Failure,2.9,1,,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Pneumonia,,,,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,AMI,6.4,28,489,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Acute Stroke Subarachnoid,,,,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,GI Hemorrhage,0.4,1,297,Better,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Acute Stroke Hemorrhagic,17.9,5,33,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,AAA Repair,0,0,7,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Craniotomy,,,,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Hip Fracture,,,,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Pancreatic Other,,,,As Expected,-122.26257,37.82106
2012,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,Pancreatic Resection,0,0,4,As Expected,-122.26257,37.82106
2012,Alameda,Saint Rose Hospital,106010967,Hip Fracture,3.1,1,37,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Carotid Endarterectomy,0,0,4,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Espophageal Resection,,,,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Pancreatic Cancer,,,,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,AMI,9.1,17,207,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Acute Stroke Subarachnoid,,,,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Acute Stroke Hemorrhagic,38.3,2,3,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Pneumonia,4.9,4,133,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Acute Stroke,15.8,9,80,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,AAA Repair,,,,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,PCI,3.4,7,165,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Acute Stroke Ischemic,8.7,6,76,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Heart Failure,0.5,1,254,Better,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Pancreatic Resection,,,,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Craniotomy,,,,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,GI Hemorrhage,1.4,2,118,As Expected,-122.08962,37.63291
2012,Alameda,Saint Rose Hospital,106010967,Pancreatic Other,,,,As Expected,-122.08962,37.63291
2012,Alameda,Washington Hospital – Fremont,106010987,GI Hemorrhage,3,8,265,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Espophageal Resection,,,,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Resection,,,,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Other,,,,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Craniotomy,5,4,65,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Acute Stroke Subarachnoid,24.1,7,16,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,AMI,8.2,17,260,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Acute Stroke Hemorrhagic,21.3,13,62,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,AAA Repair,0,0,3,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,PCI,4.3,10,254,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Hip Fracture,1.1,1,84,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Pneumonia,6,,,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Pancreatic Cancer,,,,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Acute Stroke Ischemic,6.2,10,202,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Heart Failure,3.7,14,396,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Carotid Endarterectomy,3.1,1,36,As Expected,-121.98006,37.55847
2012,Alameda,Washington Hospital – Fremont,106010987,Acute Stroke,10.2,30,280,As Expected,-121.98006,37.55847
2012,Alameda,San Leandro Hospital,106013619,Heart Failure,3.7,8,218,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Carotid Endarterectomy,0,0,11,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,PCI,,,,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Acute Stroke Ischemic,3.2,2,34,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,AMI,7.4,4,34,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Acute Stroke Hemorrhagic,0,0,3,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Hip Fracture,0,0,23,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,GI Hemorrhage,0.9,1,111,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Pneumonia,2.6,2,79,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Pancreatic Cancer,,,,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,AAA Repair,0,0,14,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Acute Stroke Subarachnoid,,,,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Pancreatic Other,,,,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Pancreatic Resection,,,,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Espophageal Resection,,,,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Acute Stroke,5.2,2,37,As Expected,-122.14067,37.71364
2012,Alameda,San Leandro Hospital,106013619,Craniotomy,,,,As Expected,-122.14067,37.71364
2012,Alameda,Valleycare Medical Center,106014050,Craniotomy,,,,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Pancreatic Other,,,,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Pancreatic Cancer,,,,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,AMI,6.6,13,182,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Acute Stroke Ischemic,0,0,57,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Pancreatic Resection,,,,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,PCI,2.7,4,133,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Heart Failure,2.6,9,234,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,GI Hemorrhage,4,4,101,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Acute Stroke Hemorrhagic,35,2,3,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,AAA Repair,0,0,3,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Hip Fracture,1.1,1,60,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Acute Stroke Subarachnoid,,,,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Acute Stroke,5.3,2,60,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Carotid Endarterectomy,0,0,14,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Pneumonia,3.6,14,275,As Expected,-121.88095,37.69206
2012,Alameda,Valleycare Medical Center,106014050,Espophageal Resection,64.2,1,3,As Expected,-121.88095,37.69206
2012,Amador,Sutter Amador Hospital,106034002,Acute Stroke Subarachnoid,,,,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Hip Fracture,4.6,4,46,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,PCI,,,,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Acute Stroke,6.7,5,77,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Pneumonia,1,1,111,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Pancreatic Other,,,,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,GI Hemorrhage,4.2,3,69,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Espophageal Resection,,,,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Carotid Endarterectomy,,,,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Craniotomy,,,,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Heart Failure,4.4,3,58,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Pancreatic Resection,,,,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,AMI,9,1,8,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Acute Stroke Ischemic,3.6,3,63,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Acute Stroke Hemorrhagic,18,2,12,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,Pancreatic Cancer,,,,As Expected,-120.77272,38.34743
2012,Amador,Sutter Amador Hospital,106034002,AAA Repair,,,,As Expected,-120.77272,38.34743
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Acute Stroke Subarachnoid,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Espophageal Resection,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Craniotomy,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Carotid Endarterectomy,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Acute Stroke,66.7,1,5,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Acute Stroke Ischemic,40,1,5,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Acute Stroke Hemorrhagic,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,GI Hemorrhage,0,0,18,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,PCI,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Hip Fracture,0,0,11,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Pancreatic Resection,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Pneumonia,1,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,AMI,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,AAA Repair,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Pancreatic Cancer,,,,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Heart Failure,7.2,1,32,As Expected,-121.69058,39.36705
2012,Butte,Biggs Gridley Memorial Hospital,106040802,Pancreatic Other,,,,As Expected,-121.69058,39.36705
2012,Butte,Feather River Hospital,106040875,Acute Stroke Hemorrhagic,,,,As Expected,-121.57218,39.75641
2012,Butte,Feather River Hospital,106040875,Acute Stroke,2.5,1,76,As Expected,-121.57218,39.75641
2012,Butte,Feather River Hospital,106040875,Espophageal Resection,,,,As Expected,-121.57218,39.75641
2012,Butte,Feather River Hospital,106040875,Craniotomy,,,,As Expected,-121.57218,39.75641
2012,Butte,Feather River Hospital,106040875,Acute Stroke Ischemic,0,0,73,As Expected,-121.57218,39.75641
2012,Butte,Feather River Hospital,106040875,Pancreatic Cancer,,,,As Expected,-121.57218,39.75641
2012,Butte,Feather River Hospital,106040875,AMI,2.3,2,42,As Expected,-121.57218,39.75641
