COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
Glenn,2015.00,Child vs. adult,0–17 years,0–17 years,39.00,51.80,
Humboldt,2015.00,Child vs. adult,0–17 years,0–17 years,153.00,59.30,
Imperial,2015.00,Child vs. adult,0–17 years,0–17 years,737.00,140.10,
Inyo,2015.00,Child vs. adult,0–17 years,0–17 years,33.00,92.00,
Kern,2015.00,Child vs. adult,0–17 years,0–17 years,2566.00,96.80,
Kings,2015.00,Child vs. adult,0–17 years,0–17 years,615.00,143.40,
Lake,2015.00,Child vs. adult,0–17 years,0–17 years,115.00,90.60,
Lassen,2015.00,Child vs. adult,0–17 years,0–17 years,33.00,59.70,
Los Angeles,2015.00,Child vs. adult,0–17 years,0–17 years,20540.00,88.70,
Madera,2015.00,Child vs. adult,0–17 years,0–17 years,586.00,133.00,
Marin,2015.00,Child vs. adult,0–17 years,0–17 years,167.00,33.50,
Mariposa,2015.00,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015.00,Child vs. adult,0–17 years,0–17 years,130.00,69.00,
Merced,2015.00,Child vs. adult,0–17 years,0–17 years,1110.00,139.80,
Modoc,2015.00,Child vs. adult,0–17 years,0–17 years,19.00,100.10,
Mono,2015.00,Child vs. adult,0–17 years,0–17 years,16.00,52.70,
Monterey,2015.00,Child vs. adult,0–17 years,0–17 years,970.00,84.20,
Napa,2015.00,Child vs. adult,0–17 years,0–17 years,190.00,62.50,
Nevada,2015.00,Child vs. adult,0–17 years,0–17 years,79.00,47.90,
Orange,2015.00,Child vs. adult,0–17 years,0–17 years,4279.00,59.70,
Placer,2015.00,Child vs. adult,0–17 years,0–17 years,337.00,41.50,
Plumas,2015.00,Child vs. adult,0–17 years,0–17 years,21.00,65.20,
Riverside,2015.00,Child vs. adult,0–17 years,0–17 years,3917.00,64.90,
Sacramento,2015.00,Child vs. adult,0–17 years,0–17 years,3285.00,90.80,
San Benito,2015.00,Child vs. adult,0–17 years,0–17 years,115.00,76.60,
San Bernardino,2015.00,Child vs. adult,0–17 years,0–17 years,5019.00,87.70,
San Diego,2015.00,Child vs. adult,0–17 years,0–17 years,4616.00,62.10,
San Francisco,2015.00,Child vs. adult,0–17 years,0–17 years,850.00,64.90,
San Joaquin,2015.00,Child vs. adult,0–17 years,0–17 years,1868.00,95.10,
San Luis Obispo,2015.00,Child vs. adult,0–17 years,0–17 years,321.00,65.00,
San Mateo,2015.00,Child vs. adult,0–17 years,0–17 years,826.00,49.50,
Santa Barbara,2015.00,Child vs. adult,0–17 years,0–17 years,689.00,70.00,
Santa Clara,2015.00,Child vs. adult,0–17 years,0–17 years,1976.00,44.10,
Santa Cruz,2015.00,Child vs. adult,0–17 years,0–17 years,343.00,60.80,
Shasta,2015.00,Child vs. adult,0–17 years,0–17 years,300.00,78.10,
Sierra,2015.00,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015.00,Child vs. adult,0–17 years,0–17 years,43.00,50.40,
Solano,2015.00,Child vs. adult,0–17 years,0–17 years,1141.00,119.40,
Sonoma,2015.00,Child vs. adult,0–17 years,0–17 years,586.00,56.90,
Stanislaus,2015.00,Child vs. adult,0–17 years,0–17 years,1236.00,85.80,
Sutter,2015.00,Child vs. adult,0–17 years,0–17 years,121.00,47.50,
Tehama,2015.00,Child vs. adult,0–17 years,0–17 years,128.00,85.30,
Trinity,2015.00,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015.00,Child vs. adult,0–17 years,0–17 years,1264.00,85.50,
Tuolumne,2015.00,Child vs. adult,0–17 years,0–17 years,54.00,60.90,
Ventura,2015.00,Child vs. adult,0–17 years,0–17 years,1271.00,62.70,
Yolo,2015.00,Child vs. adult,0–17 years,0–17 years,291.00,67.70,
Yuba,2015.00,Child vs. adult,0–17 years,0–17 years,131.00,62.50,
California,2015.00,Child vs. adult,18+ years,18+ years,117854.00,40.00,
Alameda,2015.00,Child vs. adult,18+ years,18+ years,6513.00,53.10,
Alpine,2015.00,Child vs. adult,18+ years,18+ years,0.00,0.00,
Amador,2015.00,Child vs. adult,18+ years,18+ years,151.00,49.10,
Butte,2015.00,Child vs. adult,18+ years,18+ years,736.00,43.80,
Calaveras,2015.00,Child vs. adult,18+ years,18+ years,139.00,42.70,
Colusa,2015.00,Child vs. adult,18+ years,18+ years,49.00,29.00,
Contra Costa,2015.00,Child vs. adult,18+ years,18+ years,4528.00,54.80,
Del Norte,2015.00,Child vs. adult,18+ years,18+ years,91.00,41.90,
El Dorado,2015.00,Child vs. adult,18+ years,18+ years,422.00,32.80,
Fresno,2015.00,Child vs. adult,18+ years,18+ years,3454.00,49.50,
Glenn,2015.00,Child vs. adult,18+ years,18+ years,83.00,39.40,
Humboldt,2015.00,Child vs. adult,18+ years,18+ years,682.00,64.80,
Imperial,2015.00,Child vs. adult,18+ years,18+ years,651.00,47.20,
Inyo,2015.00,Child vs. adult,18+ years,18+ years,55.00,40.10,
Kern,2015.00,Child vs. adult,18+ years,18+ years,3293.00,50.30,
Kings,2015.00,Child vs. adult,18+ years,18+ years,635.00,56.10,
Lake,2015.00,Child vs. adult,18+ years,18+ years,363.00,76.90,
Lassen,2015.00,Child vs. adult,18+ years,18+ years,115.00,40.20,
Los Angeles,2015.00,Child vs. adult,18+ years,18+ years,31687.00,40.80,
Madera,2015.00,Child vs. adult,18+ years,18+ years,445.00,37.70,
Marin,2015.00,Child vs. adult,18+ years,18+ years,374.00,18.30,
Mariposa,2015.00,Child vs. adult,18+ years,18+ years,69.00,51.80,
Mendocino,2015.00,Child vs. adult,18+ years,18+ years,349.00,53.40,
Merced,2015.00,Child vs. adult,18+ years,18+ years,1315.00,69.20,
Modoc,2015.00,Child vs. adult,18+ years,18+ years,34.00,56.70,
Mono,2015.00,Child vs. adult,18+ years,18+ years,27.00,24.80,
Monterey,2015.00,Child vs. adult,18+ years,18+ years,1224.00,38.30,
Napa,2015.00,Child vs. adult,18+ years,18+ years,382.00,34.70,
Nevada,2015.00,Child vs. adult,18+ years,18+ years,272.00,41.00,
Orange,2015.00,Child vs. adult,18+ years,18+ years,5996.00,24.90,
Placer,2015.00,Child vs. adult,18+ years,18+ years,788.00,27.90,
Plumas,2015.00,Child vs. adult,18+ years,18+ years,78.00,53.20,
Riverside,2015.00,Child vs. adult,18+ years,18+ years,6194.00,35.70,
Sacramento,2015.00,Child vs. adult,18+ years,18+ years,6824.00,61.70,
San Benito,2015.00,Child vs. adult,18+ years,18+ years,170.00,40.90,
San Bernardino,2015.00,Child vs. adult,18+ years,18+ years,7742.00,49.50,
San Diego,2015.00,Child vs. adult,18+ years,18+ years,7030.00,28.30,
San Francisco,2015.00,Child vs. adult,18+ years,18+ years,2291.00,33.00,
San Joaquin,2015.00,Child vs. adult,18+ years,18+ years,2934.00,56.20,
San Luis Obispo,2015.00,Child vs. adult,18+ years,18+ years,629.00,31.40,
San Mateo,2015.00,Child vs. adult,18+ years,18+ years,1869.00,31.90,
Santa Barbara,2015.00,Child vs. adult,18+ years,18+ years,1045.00,30.50,
Santa Clara,2015.00,Child vs. adult,18+ years,18+ years,4545.00,31.90,
Santa Cruz,2015.00,Child vs. adult,18+ years,18+ years,567.00,28.10,
Shasta,2015.00,Child vs. adult,18+ years,18+ years,715.00,54.40,
Sierra,2015.00,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015.00,Child vs. adult,18+ years,18+ years,133.00,45.80,
Solano,2015.00,Child vs. adult,18+ years,18+ years,2274.00,70.70,
Sonoma,2015.00,Child vs. adult,18+ years,18+ years,1350.00,34.40,
Stanislaus,2015.00,Child vs. adult,18+ years,18+ years,2045.00,51.90,
Sutter,2015.00,Child vs. adult,18+ years,18+ years,216.00,29.40,
Tehama,2015.00,Child vs. adult,18+ years,18+ years,195.00,41.40,
Trinity,2015.00,Child vs. adult,18+ years,18+ years,60.00,70.20,
Tulare,2015.00,Child vs. adult,18+ years,18+ years,1278.00,39.40,
Tuolumne,2015.00,Child vs. adult,18+ years,18+ years,203.00,50.40,
Ventura,2015.00,Child vs. adult,18+ years,18+ years,1662.00,25.80,
Yolo,2015.00,Child vs. adult,18+ years,18+ years,561.00,36.00,
Yuba,2015.00,Child vs. adult,18+ years,18+ years,215.00,39.50,
California,2015.00,Age groups,0–4 years,0–4 years,25563.00,98.70,
Alameda,2015.00,Age groups,0–4 years,0–4 years,1354.00,134.60,
Alpine,2015.00,Age groups,0–4 years,0–4 years,0.00,0.00,
Amador,2015.00,Age groups,0–4 years,0–4 years,17.00,128.30,
Butte,2015.00,Age groups,0–4 years,0–4 years,99.00,87.80,
Calaveras,2015.00,Age groups,0–4 years,0–4 years,18.00,106.80,
Colusa,2015.00,Age groups,0–4 years,0–4 years,14.00,87.50,
Contra Costa,2015.00,Age groups,0–4 years,0–4 years,791.00,125.50,
Del Norte,2015.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2015.00,Age groups,0–4 years,0–4 years,48.00,55.90,
Fresno,2015.00,Age groups,0–4 years,0–4 years,1792.00,220.10,
Glenn,2015.00,Age groups,0–4 years,0–4 years,20.00,98.90,
Humboldt,2015.00,Age groups,0–4 years,0–4 years,43.00,65.20,
Imperial,2015.00,Age groups,0–4 years,0–4 years,161.00,100.90,
Inyo,2015.00,Age groups,0–4 years,0–4 years,13.00,138.90,
Kern,2015.00,Age groups,0–4 years,0–4 years,878.00,117.20,
Kings,2015.00,Age groups,0–4 years,0–4 years,212.00,171.70,
Lake,2015.00,Age groups,0–4 years,0–4 years,30.00,87.60,
Lassen,2015.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2015.00,Age groups,0–4 years,0–4 years,6693.00,98.70,
Madera,2015.00,Age groups,0–4 years,0–4 years,241.00,198.10,
Marin,2015.00,Age groups,0–4 years,0–4 years,61.00,48.50,
Mariposa,2015.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015.00,Age groups,0–4 years,0–4 years,40.00,79.40,
Merced,2015.00,Age groups,0–4 years,0–4 years,373.00,176.20,
Modoc,2015.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2015.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2015.00,Age groups,0–4 years,0–4 years,336.00,99.50,
Napa,2015.00,Age groups,0–4 years,0–4 years,54.00,66.20,
Nevada,2015.00,Age groups,0–4 years,0–4 years,30.00,73.50,
Orange,2015.00,Age groups,0–4 years,0–4 years,1668.00,82.80,
Placer,2015.00,Age groups,0–4 years,0–4 years,91.00,45.20,
Plumas,2015.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2015.00,Age groups,0–4 years,0–4 years,1143.00,71.20,
Sacramento,2015.00,Age groups,0–4 years,0–4 years,1150.00,114.60,
San Benito,2015.00,Age groups,0–4 years,0–4 years,27.00,68.60,
San Bernardino,2015.00,Age groups,0–4 years,0–4 years,1523.00,96.30,
San Diego,2015.00,Age groups,0–4 years,0–4 years,1870.00,86.70,
San Francisco,2015.00,Age groups,0–4 years,0–4 years,396.00,88.70,
San Joaquin,2015.00,Age groups,0–4 years,0–4 years,616.00,116.00,
San Luis Obispo,2015.00,Age groups,0–4 years,0–4 years,87.00,66.80,
San Mateo,2015.00,Age groups,0–4 years,0–4 years,330.00,70.10,
Santa Barbara,2015.00,Age groups,0–4 years,0–4 years,217.00,77.40,
Santa Clara,2015.00,Age groups,0–4 years,0–4 years,689.00,55.00,
Santa Cruz,2015.00,Age groups,0–4 years,0–4 years,141.00,85.70,
Shasta,2015.00,Age groups,0–4 years,0–4 years,110.00,103.80,
Sierra,2015.00,Age groups,0–4 years,0–4 years,0.00,0.00,
Siskiyou,2015.00,Age groups,0–4 years,0–4 years,16.00,75.00,
Solano,2015.00,Age groups,0–4 years,0–4 years,365.00,143.00,
Sonoma,2015.00,Age groups,0–4 years,0–4 years,216.00,78.40,
Stanislaus,2015.00,Age groups,0–4 years,0–4 years,364.00,92.50,
Sutter,2015.00,Age groups,0–4 years,0–4 years,33.00,48.00,
Tehama,2015.00,Age groups,0–4 years,0–4 years,39.00,104.90,
Trinity,2015.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015.00,Age groups,0–4 years,0–4 years,508.00,123.40,
Tuolumne,2015.00,Age groups,0–4 years,0–4 years,12.00,55.10,
Ventura,2015.00,Age groups,0–4 years,0–4 years,442.00,78.40,
Yolo,2015.00,Age groups,0–4 years,0–4 years,105.00,90.20,
Yuba,2015.00,Age groups,0–4 years,0–4 years,51.00,85.20,
California,2015.00,Age groups,5–17 years,5–17 years,48487.00,74.00,
Alameda,2015.00,Age groups,5–17 years,5–17 years,2072.00,82.80,
Alpine,2015.00,Age groups,5–17 years,5–17 years,0.00,0.00,
Amador,2015.00,Age groups,5–17 years,5–17 years,28.00,69.30,
Butte,2015.00,Age groups,5–17 years,5–17 years,209.00,61.80,
Calaveras,2015.00,Age groups,5–17 years,5–17 years,28.00,47.00,
Colusa,2015.00,Age groups,5–17 years,5–17 years,34.00,73.20,
Contra Costa,2015.00,Age groups,5–17 years,5–17 years,1539.00,84.10,
Del Norte,2015.00,Age groups,5–17 years,5–17 years,39.00,91.50,
El Dorado,2015.00,Age groups,5–17 years,5–17 years,122.00,43.50,
Fresno,2015.00,Age groups,5–17 years,5–17 years,2690.00,132.40,
Glenn,2015.00,Age groups,5–17 years,5–17 years,19.00,34.50,
Humboldt,2015.00,Age groups,5–17 years,5–17 years,110.00,57.20,
Imperial,2015.00,Age groups,5–17 years,5–17 years,576.00,154.50,
Inyo,2015.00,Age groups,5–17 years,5–17 years,20.00,74.80,
Kern,2015.00,Age groups,5–17 years,5–17 years,1688.00,89.30,
Kings,2015.00,Age groups,5–17 years,5–17 years,403.00,133.00,
Lake,2015.00,Age groups,5–17 years,5–17 years,85.00,91.60,
Lassen,2015.00,Age groups,5–17 years,5–17 years,26.00,62.80,
Los Angeles,2015.00,Age groups,5–17 years,5–17 years,13847.00,85.00,
Madera,2015.00,Age groups,5–17 years,5–17 years,345.00,109.10,
Marin,2015.00,Age groups,5–17 years,5–17 years,106.00,28.10,
Mariposa,2015.00,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2015.00,Age groups,5–17 years,5–17 years,90.00,65.10,
Merced,2015.00,Age groups,5–17 years,5–17 years,737.00,126.40,
Modoc,2015.00,Age groups,5–17 years,5–17 years,13.00,86.90,
Mono,2015.00,Age groups,5–17 years,5–17 years,14.00,63.80,
Monterey,2015.00,Age groups,5–17 years,5–17 years,634.00,78.50,
Napa,2015.00,Age groups,5–17 years,5–17 years,136.00,61.20,
Nevada,2015.00,Age groups,5–17 years,5–17 years,49.00,38.50,
Orange,2015.00,Age groups,5–17 years,5–17 years,2611.00,51.30,
Placer,2015.00,Age groups,5–17 years,5–17 years,246.00,40.10,
Plumas,2015.00,Age groups,5–17 years,5–17 years,15.00,62.20,
Riverside,2015.00,Age groups,5–17 years,5–17 years,2774.00,62.60,
Sacramento,2015.00,Age groups,5–17 years,5–17 years,2135.00,82.00,
San Benito,2015.00,Age groups,5–17 years,5–17 years,88.00,79.50,
San Bernardino,2015.00,Age groups,5–17 years,5–17 years,3496.00,84.50,
San Diego,2015.00,Age groups,5–17 years,5–17 years,2746.00,53.10,
San Francisco,2015.00,Age groups,5–17 years,5–17 years,454.00,56.20,
San Joaquin,2015.00,Age groups,5–17 years,5–17 years,1252.00,87.50,
San Luis Obispo,2015.00,Age groups,5–17 years,5–17 years,234.00,64.40,
San Mateo,2015.00,Age groups,5–17 years,5–17 years,496.00,41.90,
Santa Barbara,2015.00,Age groups,5–17 years,5–17 years,472.00,67.20,
Santa Clara,2015.00,Age groups,5–17 years,5–17 years,1287.00,40.20,
Santa Cruz,2015.00,Age groups,5–17 years,5–17 years,202.00,51.70,
Shasta,2015.00,Age groups,5–17 years,5–17 years,190.00,68.70,
Sierra,2015.00,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015.00,Age groups,5–17 years,5–17 years,27.00,41.40,
Solano,2015.00,Age groups,5–17 years,5–17 years,776.00,110.80,
Sonoma,2015.00,Age groups,5–17 years,5–17 years,370.00,49.00,
Stanislaus,2015.00,Age groups,5–17 years,5–17 years,872.00,83.40,
Sutter,2015.00,Age groups,5–17 years,5–17 years,88.00,47.30,
Tehama,2015.00,Age groups,5–17 years,5–17 years,89.00,78.10,
Trinity,2015.00,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2015.00,Age groups,5–17 years,5–17 years,756.00,71.50,
Tuolumne,2015.00,Age groups,5–17 years,5–17 years,42.00,63.10,
Ventura,2015.00,Age groups,5–17 years,5–17 years,829.00,56.90,
Yolo,2015.00,Age groups,5–17 years,5–17 years,186.00,59.40,
Yuba,2015.00,Age groups,5–17 years,5–17 years,80.00,54.10,
California,2015.00,Age groups,18–64 years,18–64 years,99761.00,40.70,
Alameda,2015.00,Age groups,18–64 years,18–64 years,5431.00,52.80,
Alpine,2015.00,Age groups,18–64 years,18–64 years,0.00,0.00,
Amador,2015.00,Age groups,18–64 years,18–64 years,112.00,50.20,
Butte,2015.00,Age groups,18–64 years,18–64 years,631.00,47.30,
Calaveras,2015.00,Age groups,18–64 years,18–64 years,115.00,46.80,
Colusa,2015.00,Age groups,18–64 years,18–64 years,40.00,29.50,
Contra Costa,2015.00,Age groups,18–64 years,18–64 years,3795.00,56.40,
Del Norte,2015.00,Age groups,18–64 years,18–64 years,79.00,45.50,
El Dorado,2015.00,Age groups,18–64 years,18–64 years,360.00,35.70,
Fresno,2015.00,Age groups,18–64 years,18–64 years,2928.00,49.80,
Glenn,2015.00,Age groups,18–64 years,18–64 years,75.00,43.40,
Humboldt,2015.00,Age groups,18–64 years,18–64 years,590.00,69.60,
Imperial,2015.00,Age groups,18–64 years,18–64 years,534.00,46.30,
Inyo,2015.00,Age groups,18–64 years,18–64 years,48.00,45.00,
Kern,2015.00,Age groups,18–64 years,18–64 years,2946.00,53.10,
Kings,2015.00,Age groups,18–64 years,18–64 years,551.00,55.20,
Lake,2015.00,Age groups,18–64 years,18–64 years,317.00,85.50,
Lassen,2015.00,Age groups,18–64 years,18–64 years,97.00,40.00,
Los Angeles,2015.00,Age groups,18–64 years,18–64 years,26914.00,41.20,
Madera,2015.00,Age groups,18–64 years,18–64 years,361.00,36.90,
Marin,2015.00,Age groups,18–64 years,18–64 years,268.00,17.50,
Mariposa,2015.00,Age groups,18–64 years,18–64 years,51.00,54.00,
Mendocino,2015.00,Age groups,18–64 years,18–64 years,296.00,58.20,
Merced,2015.00,Age groups,18–64 years,18–64 years,1132.00,70.60,
Modoc,2015.00,Age groups,18–64 years,18–64 years,26.00,61.00,
Mono,2015.00,Age groups,18–64 years,18–64 years,25.00,27.70,
Monterey,2015.00,Age groups,18–64 years,18–64 years,1034.00,38.50,
Napa,2015.00,Age groups,18–64 years,18–64 years,297.00,34.50,
Nevada,2015.00,Age groups,18–64 years,18–64 years,230.00,45.50,
Orange,2015.00,Age groups,18–64 years,18–64 years,4788.00,23.90,
Placer,2015.00,Age groups,18–64 years,18–64 years,611.00,27.90,
Plumas,2015.00,Age groups,18–64 years,18–64 years,69.00,61.00,
Riverside,2015.00,Age groups,18–64 years,18–64 years,5451.00,38.00,
Sacramento,2015.00,Age groups,18–64 years,18–64 years,6011.00,65.50,
San Benito,2015.00,Age groups,18–64 years,18–64 years,146.00,42.10,
San Bernardino,2015.00,Age groups,18–64 years,18–64 years,6862.00,51.50,
San Diego,2015.00,Age groups,18–64 years,18–64 years,5933.00,28.60,
San Francisco,2015.00,Age groups,18–64 years,18–64 years,1855.00,32.50,
San Joaquin,2015.00,Age groups,18–64 years,18–64 years,2558.00,58.70,
San Luis Obispo,2015.00,Age groups,18–64 years,18–64 years,534.00,33.90,
San Mateo,2015.00,Age groups,18–64 years,18–64 years,1399.00,29.60,
Santa Barbara,2015.00,Age groups,18–64 years,18–64 years,878.00,31.10,
Santa Clara,2015.00,Age groups,18–64 years,18–64 years,3711.00,31.00,
Santa Cruz,2015.00,Age groups,18–64 years,18–64 years,474.00,28.20,
Shasta,2015.00,Age groups,18–64 years,18–64 years,616.00,59.80,
Sierra,2015.00,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2015.00,Age groups,18–64 years,18–64 years,110.00,50.80,
Solano,2015.00,Age groups,18–64 years,18–64 years,1919.00,72.70,
Sonoma,2015.00,Age groups,18–64 years,18–64 years,1029.00,33.50,
Stanislaus,2015.00,Age groups,18–64 years,18–64 years,1765.00,53.80,
Sutter,2015.00,Age groups,18–64 years,18–64 years,175.00,29.60,
Tehama,2015.00,Age groups,18–64 years,18–64 years,160.00,43.50,
Trinity,2015.00,Age groups,18–64 years,18–64 years,52.00,79.20,
Tulare,2015.00,Age groups,18–64 years,18–64 years,1115.00,40.70,
Tuolumne,2015.00,Age groups,18–64 years,18–64 years,163.00,53.90,
Ventura,2015.00,Age groups,18–64 years,18–64 years,1362.00,25.70,
Yolo,2015.00,Age groups,18–64 years,18–64 years,464.00,35.00,
Yuba,2015.00,Age groups,18–64 years,18–64 years,178.00,38.90,
California,2015.00,Age groups,65+ years,65+ years,18093.00,36.40,
Alameda,2015.00,Age groups,65+ years,65+ years,1082.00,54.80,
Alpine,2015.00,Age groups,65+ years,65+ years,0.00,0.00,
Amador,2015.00,Age groups,65+ years,65+ years,39.00,43.70,
Butte,2015.00,Age groups,65+ years,65+ years,105.00,26.70,
Calaveras,2015.00,Age groups,65+ years,65+ years,24.00,22.90,
Colusa,2015.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2015.00,Age groups,65+ years,65+ years,733.00,46.70,
Del Norte,2015.00,Age groups,65+ years,65+ years,12.00,24.10,
El Dorado,2015.00,Age groups,65+ years,65+ years,62.00,18.70,
Fresno,2015.00,Age groups,65+ years,65+ years,526.00,48.30,
Glenn,2015.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2015.00,Age groups,65+ years,65+ years,92.00,41.60,
Imperial,2015.00,Age groups,65+ years,65+ years,117.00,51.70,
Inyo,2015.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2015.00,Age groups,65+ years,65+ years,347.00,36.70,
Kings,2015.00,Age groups,65+ years,65+ years,84.00,60.30,
Lake,2015.00,Age groups,65+ years,65+ years,46.00,34.80,
